dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
p2_1,deepseek-chat,default,correct_answer,0.862864,7.150327,6.137255,0.858318,2.265109,3.450436,0.656470
p2_1,deepseek-reasoner,default,correct_answer,0.877446,7.150327,6.185621,0.865082,2.011373,3.450436,0.582933
p2_1,gpt-4o-mini,default,correct_answer,0.786842,7.150327,6.630719,0.927331,2.199599,3.450436,0.637484
p2_1,gpt-4o-mini,default,textbook_based,0.561221,7.150327,5.945752,0.831536,3.106361,3.450436,0.900281
p2_1,gpt-4o,default,correct_answer,0.860298,7.150327,6.954248,0.972578,1.859440,3.450436,0.538900
p2_1,gpt-4o,default,textbook_based,0.644933,7.150327,6.041176,0.844881,2.990344,3.450436,0.866657
p2_1,gpt-5,default,correct_answer,0.896987,7.150327,6.547712,0.915722,1.721680,3.450436,0.498975
p2_1,deepseek-chat,default,generated_answer,0.274378,7.150327,2.385621,0.333638,6.237144,3.450436,1.807639
p2_1,deepseek-reasoner,default,generated_answer,0.776490,7.150327,5.679085,0.794241,2.765225,3.450436,0.801413
p2_1,gpt-4o-mini,default,generated_answer,0.535445,7.150327,5.035948,0.704296,3.636462,3.450436,1.053914
p2_1,gpt-4o,default,generated_answer,0.716698,7.150327,6.069935,0.848903,2.693966,3.450436,0.780761
p2_1,gpt-5,default,generated_answer,0.836775,7.150327,6.069935,0.848903,2.323917,3.450436,0.673514
p2_1,deepseek-chat,hard,generated_answer,0.190134,7.150327,1.705882,0.238574,6.843250,3.450436,1.983300
p2_1,deepseek-reasoner,hard,generated_answer,0.719078,7.150327,6.509804,0.910420,2.737419,3.450436,0.793355
p2_1,gpt-4o-mini,hard,generated_answer,0.503515,7.150327,5.513072,0.771024,3.426397,3.450436,0.993033
p2_1,gpt-4o,hard,generated_answer,0.591911,7.150327,3.764706,0.526508,4.847680,3.450436,1.404947
p2_1,gpt-5,hard,generated_answer,0.731803,7.150327,6.980392,0.976234,2.525685,3.450436,0.731990
p2_1,deepseek-chat,soft,generated_answer,0.098788,7.150327,1.065359,0.148995,7.307888,3.450436,2.117961
p2_1,deepseek-reasoner,soft,generated_answer,0.790636,7.150327,5.725490,0.800731,2.735819,3.450436,0.792891
p2_1,gpt-4o-mini,soft,generated_answer,0.497878,7.150327,5.084967,0.711152,3.721076,3.450436,1.078437
p2_1,gpt-4o,soft,generated_answer,0.680954,7.150327,5.218954,0.729890,3.693087,3.450436,1.070325
p2_1,gpt-5,soft,generated_answer,0.836082,7.150327,6.300000,0.881079,2.193320,3.450436,0.635665
p2_1,deepseek-chat,hard,correct_answer,0.853463,7.150327,6.326797,0.884826,2.148111,3.450436,0.622562
p2_1,deepseek-reasoner,hard,correct_answer,0.816383,7.150327,6.934641,0.969835,2.125168,3.450436,0.615913
p2_1,gpt-4o-mini,hard,correct_answer,0.778101,7.150327,7.078431,0.989945,2.168551,3.450436,0.628486
p2_1,gpt-4o-mini,hard,textbook_based,0.468103,7.150327,6.039216,0.844607,3.252952,3.450436,0.942766
p2_1,gpt-4o,hard,correct_answer,0.803550,7.150327,5.843137,0.817185,2.931127,3.450436,0.849495
p2_1,gpt-5,hard,correct_answer,0.775447,7.150327,7.320261,1.023766,2.240448,3.450436,0.649323
p2_1,deepseek-chat,soft,correct_answer,0.844493,7.150327,5.866013,0.820384,2.605612,3.450436,0.755155
p2_1,deepseek-reasoner,soft,correct_answer,0.866755,7.150327,6.222222,0.870201,2.061981,3.450436,0.597600
p2_1,gpt-4o-mini,soft,correct_answer,0.831996,7.150327,6.996732,0.978519,1.920393,3.450436,0.556565
p2_1,gpt-4o-mini,soft,textbook_based,0.610962,7.150327,6.153595,0.860603,2.920236,3.450436,0.846338
p2_1,gpt-4o,soft,correct_answer,0.794022,7.150327,6.422876,0.898263,2.597246,3.450436,0.752730
p2_1,gpt-5,soft,correct_answer,0.895942,7.150327,6.811765,0.952651,1.629267,3.450436,0.472192
